Time Serie,AUSTRALIA - AUSTRALIAN DOLLAR/US$,EURO AREA - EURO/US$,NEW ZEALAND - NEW ZELAND DOLLAR/US$,UNITED KINGDOM - UNITED KINGDOM POUND/US$,BRAZIL - REAL/US$,CANADA - CANADIAN DOLLAR/US$,CHINA - YUAN/US$,HONG KONG - HONG KONG DOLLAR/US$,INDIA - INDIAN RUPEE/US$,KOREA - WON/US$,MEXICO - MEXICAN PESO/US$,SOUTH AFRICA - RAND/US$,SINGAPORE - SINGAPORE DOLLAR/US$,DENMARK - DANISH KRONE/US$,JAPAN - YEN/US$,MALAYSIA - RINGGIT/US$,NORWAY - NORWEGIAN KRONE/US$,SWEDEN - KRONA/US$,SRI LANKA - SRI LANKAN RUPEE/US$,SWITZERLAND - FRANC/US$,TAIWAN - NEW TAIWAN DOLLAR/US$,THAILAND - BAHT/US$
2000-01-04,0.006699999999999928,-0.014700000000000046,0.020499999999999963,-0.0037000000000000366,0.03550000000000009,0.005300000000000082,9.999999999976694e-05,0.0009999999999994458,0.0,-5.5,0.05550000000000033,-0.04100000000000037,-0.0028000000000001357,-0.11099999999999977,1.3900000000000006,0.0,-0.03000000000000025,-0.08300000000000018,0.3500000000000085,-0.02429999999999999,-0.7799999999999976,0.1600000000000037
2000-01-05,0.0027999999999999137,-0.0023999999999999577,0.010099999999999998,-0.0017000000000000348,0.01550000000000007,0.0,-9.999999999976694e-05,0.0004999999999997229,0.0,12.5,0.0779999999999994,-0.01499999999999968,0.0024999999999999467,-0.009999999999999787,0.6799999999999926,0.0,0.0009999999999994458,-0.006999999999999673,0.29999999999999716,-0.0039000000000000146,0.1999999999999993,-0.030000000000001137
2000-01-06,0.0023999999999999577,0.0010000000000000009,0.009700000000000042,-0.0021999999999999797,-0.016000000000000014,0.005300000000000082,-9.999999999976694e-05,0.0005000000000006111,0.0,11.5,0.03200000000000003,0.009999999999999787,0.009500000000000064,0.0045000000000001705,1.4200000000000017,0.0,0.005000000000000782,0.014499999999999957,0.0,0.0014000000000000679,0.9499999999999993,0.519999999999996
2000-01-07,-0.0019000000000000128,0.0028000000000000247,-0.005600000000000049,0.0034000000000000696,-0.009000000000000119,-0.006600000000000161,-0.0002999999999993008,-0.00020000000000042206,0.0,-8.5,-0.0470000000000006,-0.022999999999999687,-0.0029999999999998916,0.016000000000000014,-0.01999999999999602,0.0,0.0259999999999998,0.04749999999999943,0.20000000000000284,0.008299999999999974,-0.8999999999999986,-0.3200000000000003
2000-01-10,-0.0029999999999998916,0.0040000000000000036,-0.0029999999999998916,0.00029999999999996696,-0.01200000000000001,0.006300000000000194,0.0,0.00020000000000042206,0.0,-4.5,-0.07499999999999929,0.01949999999999985,-0.000700000000000145,0.02549999999999919,0.10999999999999943,0.0,0.05799999999999894,0.034000000000000696,0.14999999999999147,0.008099999999999996,-0.020000000000003126,-0.02999999999999403
2000-01-11,-0.0033000000000000806,-0.00660000000000005,0.0015000000000000568,-0.0039000000000000146,0.0035000000000000586,0.00019999999999997797,9.999999999976694e-05,0.0,0.05000000000000426,13.5,0.037499999999999645,0.013499999999999623,0.007200000000000095,-0.03999999999999915,0.8100000000000023,0.0,-0.05499999999999883,-0.0519999999999996,0.04999999999999716,-0.00990000000000002,0.0,0.3399999999999963
2000-01-12,-0.0006999999999999229,0.0039000000000000146,-0.007900000000000018,0.0004999999999999449,0.012499999999999956,-0.0020000000000000018,9.999999999976694e-05,0.00019999999999953388,0.0,-2.5,0.03250000000000064,-0.02149999999999963,0.0,0.021999999999999353,-0.3299999999999983,0.0,0.008000000000000007,0.02099999999999902,0.0,0.00550000000000006,-0.029999999999997584,-0.07000000000000028
2000-01-13,-0.024799999999999933,0.0010000000000000009,-0.020199999999999996,-0.0005999999999999339,-0.020999999999999908,-0.00550000000000006,0.00019999999999953388,0.00010000000000065512,-0.05000000000000426,-9.0,-0.005000000000000782,-0.011499999999999844,0.0009999999999998899,0.016000000000000014,0.3299999999999983,0.0,-0.03450000000000042,-0.0009999999999994458,0.0,0.0046999999999999265,0.0,-0.04999999999999716
2000-01-14,0.004999999999999893,0.013700000000000045,0.010199999999999987,0.0048000000000000265,-0.009000000000000119,0.00019999999999997797,-9.999999999976694e-05,9.999999999976694e-05,0.0,-10.5,-0.054999999999999716,0.017999999999999794,0.0052000000000000934,0.09500000000000064,-0.23000000000000398,0.0,0.05449999999999999,0.057000000000000384,0.0,0.023800000000000043,0.029999999999997584,0.05999999999999517
2000-01-18,0.005600000000000049,0.0005999999999999339,0.015599999999999836,-0.0010000000000000009,-0.01079999999999992,0.0004999999999999449,-0.0004000000000008441,9.999999999976694e-05,0.05000000000000426,2.0,-0.013999999999999346,0.014000000000000234,-0.0017000000000000348,0.008999999999999453,-0.37000000000000455,0.0,0.0129999999999999,-0.006000000000000227,-0.5,-0.00029999999999996696,0.060000000000002274,-0.14999999999999858
2000-01-19,0.0014000000000000679,0.0006000000000000449,0.005700000000000038,-0.0022000000000000908,-0.0012000000000000899,0.0025000000000001688,0.0004000000000008441,0.0007999999999999119,0.0,7.0,-0.023000000000001464,0.024999999999999467,0.0018000000000000238,0.009500000000000064,-0.09999999999999432,0.0,-0.009999999999999787,0.019000000000000128,0.3500000000000085,0.0022999999999999687,-0.03999999999999915,0.0
